metrica,metodo_a,metodo_b,numero_pares,media_a,media_b,mediana_a,mediana_b,diferencia_media_b_menos_a,diferencia_mediana_b_menos_a,estadistico_wilcoxon,p_wilcoxon,rank_biserial_signos_aprox,p_wilcoxon_holm,significativo_0_05_holm
aceleracion_angular_rms_rad_s2,A* + DWA,A* + TD3,200,1.0899506449495815,3.579264499677547,1.0212756562393293,3.5958688477264067,2.489313854727966,2.5221034535726443,0.0,1.4361464127613523e-34,1.0,1.4361464127613522e-33,1
aceleracion_angular_rms_rad_s2,A* + DWA,A* + SAC-R,200,1.0899506449495815,2.9953579545280884,1.0212756562393293,3.0023747052010474,1.905407309578507,1.9777897932837203,0.0,1.4361464127613523e-34,1.0,1.4361464127613522e-33,1
aceleracion_angular_rms_rad_s2,A* + DWA,A* + SAC-PO-TTC,200,1.0899506449495815,3.0888511003492964,1.0212756562393293,3.1030386772103604,1.9989004553997147,2.065841770395528,0.0,1.4361464127613523e-34,1.0,1.4361464127613522e-33,1
aceleracion_angular_rms_rad_s2,A* + DWA,A* + SAC-UPO-TTC,200,1.0899506449495815,3.086641603825898,1.0212756562393293,3.1013923937541517,1.9966909588763162,2.0719823041306547,0.0,1.4361464127613523e-34,1.0,1.4361464127613522e-33,1
aceleracion_angular_rms_rad_s2,A* + TD3,A* + SAC-R,200,3.579264499677547,2.9953579545280884,3.5958688477264067,3.0023747052010474,-0.583906545149459,-0.5841112092150147,0.0,1.4361464127613523e-34,-1.0,1.4361464127613522e-33,1
aceleracion_angular_rms_rad_s2,A* + TD3,A* + SAC-PO-TTC,200,3.579264499677547,3.0888511003492964,3.5958688477264067,3.1030386772103604,-0.49041339932825123,-0.48127417333147626,33.0,2.358827899806132e-34,-0.98,1.4361464127613522e-33,1
aceleracion_angular_rms_rad_s2,A* + TD3,A* + SAC-UPO-TTC,200,3.579264499677547,3.086641603825898,3.5958688477264067,3.1013923937541517,-0.49262289585164987,-0.4803286059253198,5.0,1.5484416002283044e-34,-0.99,1.4361464127613522e-33,1
aceleracion_angular_rms_rad_s2,A* + SAC-R,A* + SAC-PO-TTC,200,2.9953579545280884,3.0888511003492964,3.0023747052010474,3.1030386772103604,0.09349314582120781,0.10909619223896971,4925.0,4.0168331801851253e-10,0.43,1.2050499540555376e-09,1
aceleracion_angular_rms_rad_s2,A* + SAC-R,A* + SAC-UPO-TTC,200,2.9953579545280884,3.086641603825898,3.0023747052010474,3.1013923937541517,0.0912836492978092,0.10089771956041238,4926.0,4.0483504401108466e-10,0.48,1.2050499540555376e-09,1
aceleracion_angular_rms_rad_s2,A* + SAC-PO-TTC,A* + SAC-UPO-TTC,200,3.0888511003492964,3.086641603825898,3.1030386772103604,3.1013923937541517,-0.002209496523398612,-0.007276747612408707,9644.0,0.6203254914126042,-0.04,0.6203254914126042,0
