semilla,metodo_a,resultado_a,metodo_b,resultado_b
170150,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170154,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170156,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170161,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170163,A* + TD3,meta,A* + SAC-UPO-TTC,timeout
170166,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170167,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170169,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170172,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170175,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170180,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170181,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170182,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170183,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170185,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170186,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170193,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170194,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170198,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170003,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170006,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_dinamica
170014,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170016,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170017,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170025,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170031,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170037,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170038,A* + SAC-R,meta,A* + SAC-PO-TTC,colision_estatica
170039,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
170046,A* + SAC-R,colision_dinamica,A* + SAC-PO-TTC,meta
